Index,Date,Close,1DayAgo,2DayAgo,3DayAgo,4DayAgo,5DayAgo,6DayAgo,7DayAgo,8DayAgo,9DayAgo,10DayAgo
209,20111031,125.5,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002,120.230003
210,20111101,122,125.5,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997,122.580002
211,20111102,123.989998,122,125.5,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004,121.129997
212,20111103,126.25,123.989998,122,125.5,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001,121.660004
213,20111104,125.480003,126.25,123.989998,122,125.5,128.600006,128.630005,124.300003,123.050003,125.489998,123.970001
214,20111107,126.260002,125.480003,126.25,123.989998,122,125.5,128.600006,128.630005,124.300003,123.050003,125.489998
215,20111108,127.879997,126.260002,125.480003,126.25,123.989998,122,125.5,128.600006,128.630005,124.300003,123.050003
216,20111109,123.160004,127.879997,126.260002,125.480003,126.25,123.989998,122,125.5,128.600006,128.630005,124.300003
217,20111110,124.32,123.160004,127.879997,126.260002,125.480003,126.25,123.989998,122,125.5,128.600006,128.630005
218,20111111,126.660004,124.32,123.160004,127.879997,126.260002,125.480003,126.25,123.989998,122,125.5,128.600006
219,20111114,125.459999,126.660004,124.32,123.160004,127.879997,126.260002,125.480003,126.25,123.989998,122,125.5
220,20111115,126.080002,125.459999,126.660004,124.32,123.160004,127.879997,126.260002,125.480003,126.25,123.989998,122
221,20111116,124.080002,126.080002,125.459999,126.660004,124.32,123.160004,127.879997,126.260002,125.480003,126.25,123.989998
222,20111117,122.110001,124.080002,126.080002,125.459999,126.660004,124.32,123.160004,127.879997,126.260002,125.480003,126.25
223,20111118,121.980003,122.110001,124.080002,126.080002,125.459999,126.660004,124.32,123.160004,127.879997,126.260002,125.480003
224,20111121,119.660004,121.980003,122.110001,124.080002,126.080002,125.459999,126.660004,124.32,123.160004,127.879997,126.260002
225,20111122,119.190002,119.660004,121.980003,122.110001,124.080002,126.080002,125.459999,126.660004,124.32,123.160004,127.879997
226,20111123,116.559998,119.190002,119.660004,121.980003,122.110001,124.080002,126.080002,125.459999,126.660004,124.32,123.160004
